volume,vwap,open,close,high,low,timestamp,trades
51951.0,255.6324,255.6201,255.69,255.73,255.56,2025-10-01 15:53:00,816
38729.0,255.7341,255.67,255.79,255.79,255.65,2025-10-01 15:54:00,701
60486.0,255.8272,255.79,255.915,255.94,255.72,2025-10-01 15:55:00,1054
97707.0,255.9874,255.92,256.0001,256.03,255.91,2025-10-01 15:56:00,1080
58251.0,256.0379,256.017,256.0046,256.08,255.9887,2025-10-01 15:57:00,883
45316.0,255.9802,255.995,256.005,256.0413,255.94,2025-10-01 15:58:00,852
47024.0,256.0716,256.005,256.11,256.12,256.005,2025-10-01 15:59:00,837
83973.0,256.1761,256.1,256.24,256.27,256.09,2025-10-01 16:00:00,1132
74622.0,256.359,256.23,256.42,256.45,256.23,2025-10-01 16:01:00,1127
53498.0,256.4223,256.425,256.41,256.47,256.3876,2025-10-01 16:02:00,992
56318.0,256.3718,256.41,256.325,256.41,256.32,2025-10-01 16:03:00,1001
48546.0,256.35,256.3241,256.36,256.4,256.27,2025-10-01 16:04:00,878
42225.0,256.3491,256.355,256.34,256.3899,256.3085,2025-10-01 16:05:00,761
48412.0,256.3536,256.34,256.36,256.3818,256.31,2025-10-01 16:06:00,759
83048.0,256.4476,256.36,256.52,256.53,256.35,2025-10-01 16:07:00,1172
71064.0,256.522,256.52,256.52,256.56,256.49,2025-10-01 16:08:00,1116
46855.0,256.4883,256.54,256.49,256.55,256.43,2025-10-01 16:09:00,733
71668.0,256.5478,256.46,256.54,256.64,256.45,2025-10-01 16:10:00,1219
101742.0,256.6207,256.55,256.63,256.695,256.5344,2025-10-01 16:11:00,1282
108143.0,256.6104,256.62,256.71,256.72,256.5201,2025-10-01 16:12:00,1615
83235.0,256.8016,256.71,256.889,256.93,256.69,2025-10-01 16:13:00,1258
57925.0,256.7482,256.87,256.64,256.87,256.62,2025-10-01 16:14:00,903
58435.0,256.5472,256.64,256.43,256.64,256.43,2025-10-01 16:15:00,1060
51921.0,256.4861,256.44,256.51,256.52,256.44,2025-10-01 16:16:00,758
63437.0,256.4963,256.52,256.45,256.55,256.44,2025-10-01 16:17:00,977
36991.0,256.3943,256.43,256.37,256.445,256.34,2025-10-01 16:18:00,783
64185.0,256.2831,256.37,256.2,256.375,256.2,2025-10-01 16:19:00,997
75340.0,256.089,256.2,255.95,256.21,255.95,2025-10-01 16:20:00,1196
55003.0,256.0398,255.95,256.04,256.15,255.95,2025-10-01 16:21:00,875
34146.0,256.0167,256.03,255.995,256.0699,255.9376,2025-10-01 16:22:00,727
35121.0,255.9932,256.0,255.985,256.03,255.96,2025-10-01 16:23:00,637
34870.0,256.0311,255.99,256.065,256.1,255.9602,2025-10-01 16:24:00,680
44246.0,256.1119,256.065,256.2359,256.2359,256.06,2025-10-01 16:25:00,747
49383.0,256.2376,256.244,256.21,256.276,256.205,2025-10-01 16:26:00,864
61157.0,256.1749,256.21,256.19,256.27,256.11,2025-10-01 16:27:00,996
44456.0,256.1901,256.18,256.17,256.26,256.1201,2025-10-01 16:28:00,827
26326.0,256.1783,256.17,256.16,256.213,256.14,2025-10-01 16:29:00,531
41094.0,256.2162,256.1636,256.3,256.31,256.15,2025-10-01 16:30:00,704
42861.0,256.3366,256.3,256.3629,256.3899,256.28,2025-10-01 16:31:00,796
140944.0,256.2459,256.36,256.29,256.36,256.19,2025-10-01 16:32:00,1701
70859.0,256.1996,256.29,256.12,256.29,256.11,2025-10-01 16:33:00,1202
37875.0,256.1379,256.1127,256.07,256.21,256.06,2025-10-01 16:34:00,677
28308.0,256.0621,256.0701,256.06,256.1,256.0287,2025-10-01 16:35:00,575
59941.0,256.1929,256.07,256.275,256.31,256.07,2025-10-01 16:36:00,865
66197.0,256.3827,256.2797,256.49,256.49,256.275,2025-10-01 16:37:00,955
71860.0,256.4501,256.49,256.45,256.51,256.39,2025-10-01 16:38:00,939
51496.0,256.451,256.4551,256.48,256.5,256.38,2025-10-01 16:39:00,951
58069.0,256.5675,256.465,256.525,256.63,256.465,2025-10-01 16:40:00,1050
47417.0,256.4702,256.52,256.43,256.55,256.4,2025-10-01 16:41:00,938
40025.0,256.3734,256.43,256.271,256.45,256.271,2025-10-01 16:42:00,724
47667.0,256.3683,256.28,256.35,256.46,256.28,2025-10-01 16:43:00,823
34941.0,256.2993,256.36,256.26,256.36,256.25,2025-10-01 16:44:00,677
45434.0,256.1703,256.25,256.15,256.26,256.12,2025-10-01 16:45:00,849
45597.0,256.2359,256.1451,256.295,256.3,256.14,2025-10-01 16:46:00,875
53051.0,256.4185,256.28,256.53,256.54,256.26,2025-10-01 16:47:00,959
38025.0,256.5137,256.54,256.44,256.56,256.42,2025-10-01 16:48:00,700
19815.0,256.4274,256.45,256.425,256.47,256.395,2025-10-01 16:49:00,495
36920.0,256.4616,256.425,256.5,256.52,256.4101,2025-10-01 16:50:00,599
43241.0,256.4987,256.51,256.475,256.54,256.43,2025-10-01 16:51:00,723
44051.0,256.4769,256.47,256.44,256.565,256.43,2025-10-01 16:52:00,869
27454.0,256.4234,256.45,256.38,256.46,256.37,2025-10-01 16:53:00,646
23398.0,256.3503,256.375,256.405,256.4175,256.2901,2025-10-01 16:54:00,576
39511.0,256.3786,256.3901,256.38,256.43,256.35,2025-10-01 16:55:00,702
20441.0,256.3765,256.375,256.37,256.41,256.3501,2025-10-01 16:56:00,500
36654.0,256.3992,256.37,256.4,256.44,256.34,2025-10-01 16:57:00,692
33309.0,256.4157,256.4,256.44,256.45,256.383,2025-10-01 16:58:00,550
48493.0,256.4659,256.43,256.4532,256.4987,256.43,2025-10-01 16:59:00,726
67969.0,256.5692,256.46,256.6466,256.6493,256.46,2025-10-01 17:00:00,951
77448.0,256.7094,256.64,256.794,256.8,256.6101,2025-10-01 17:01:00,1127
49036.0,256.7812,256.785,256.79,256.8298,256.73,2025-10-01 17:02:00,773
26507.0,256.7371,256.795,256.71,256.8016,256.695,2025-10-01 17:03:00,612
32893.0,256.6821,256.71,256.6,256.75,256.5877,2025-10-01 17:04:00,606
66307.0,256.5511,256.5984,256.51,256.6,256.49,2025-10-01 17:05:00,892
28383.0,256.5493,256.51,256.535,256.58,256.51,2025-10-01 17:06:00,626
39567.0,256.5934,256.53,256.61,256.65,256.53,2025-10-01 17:07:00,704
28378.0,256.607,256.61,256.62,256.64,256.54,2025-10-01 17:08:00,596
43328.0,256.5777,256.614,256.54,256.65,256.51,2025-10-01 17:09:00,706
50969.0,256.461,256.515,256.3731,256.53,256.3731,2025-10-01 17:10:00,912
51205.0,256.3848,256.377,256.3787,256.43,256.33,2025-10-01 17:11:00,871
46044.0,256.389,256.385,256.39,256.44,256.355,2025-10-01 17:12:00,828
52587.0,256.3269,256.3884,256.2051,256.3884,256.2,2025-10-01 17:13:00,886
39840.0,256.1034,256.2,256.04,256.2099,256.025,2025-10-01 17:14:00,895
86227.0,256.0415,256.03,256.02,256.09,255.995,2025-10-01 17:15:00,1309
68411.0,256.0615,256.01,256.125,256.1613,255.96,2025-10-01 17:16:00,988
34684.0,256.159,256.13,256.2151,256.23,256.1012,2025-10-01 17:17:00,695
41229.0,256.1193,256.21,256.055,256.23,256.0283,2025-10-01 17:18:00,719
23703.0,256.1124,256.05,256.095,256.1501,256.04,2025-10-01 17:19:00,592
